LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
"APPLIED BIOSYSTEMS, LLC",CARLSBAD,CA,92008,"SENIOR STAFF ENGINEER, SOFTWARE",104765
"SYSINTELLI, INC",SAN DIEGO,CA,92126,PROGRAMMER ANALYST,63000
LSI CORPORATION,MILPITAS,CA,95035,SYS APPS ENGR 2,87294
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SYSTEMS ANALYST,56909
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043,ASSOCIATE SQA ENGINEER,58600
INTEL CORPORATION,SANTA CLARA,CA,95054,COMPONENT DESIGN ENGINEER,76947
"CORNERSTONE ONDEMAND, INC.",SANTA MONICA,CA,90404,E-MAIL MARKETING ADMINISTRATOR,40000
"CORNERSTONE ONDEMAND, INC.",SANTA MONICA,CA,90404,ASSOCIATE SOFTWARE ENGINEER,80000
"SYSINTELLI, INC",SAN DIEGO,CA,92126,SYSTEMS ADMINISTRATOR,70000
"PRICESMART, INC.",SAN DIEGO,CA,92121,"SENIOR VICE PRESIDENT, MEMBERSHIP AND MARKETING",2.00E+05
"VMWARE, INC.",PALO ALTO,CA,94304,MEMBER OF TECHNICAL STAFF - SOFTWARE ENGINEER,105000
"BETA SOFT SYSTEMS, INC.",FREMONT,CA,94538,SR. SOFTWARE ENGINEER,99653
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,ACCOUNTANT (TAX ACCOUNTANT 5-FIN),125000
INTEL CORPORATION,SANTA CLARA,CA,95054,PROCESS ENGINEER,84219
"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,CA,94720,ASSISTANT PROFESSOR,95200
"INTERNET BRANDS, INC.",EL SEGUNDO,CA,90245,DATA ANALYST,34000
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,92093,ASSISTANT PROJECT SCIENTIST,50600
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043,SR. PRODUCT MANAGER,141822
"REALIZATION TECHNOLOGIES, INC.",SAN JOSE,CA,95113,"COMPUTER SYSTEMS ANALYST, SR.",96500
"SYSINTELLI, INC",SAN DIEGO,CA,92126,SYSTEMS ANALYST,85000
ALPHA NET CONSULTING LLC,SANTA CLARA,CA,95054,SYSTEMS ANALYST,60000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,SOFTWARE ENGINEER,74000
GLOBALFOUNDRIES U.S. INC.,MILPITAS,CA,95035,TECHNOLOGY & INTEGRATION ENGINEER 2,82243
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,PROGRAMMER ANALYST,78000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,PROGRAMMER ANALYST,78000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,BUSINESS ANALYST,76000
"711 ENTERTAINMENT, CORP.",GLENDALE,CA,91204,VOIP AND NETWORK SYSTEMS ADMINISTRATOR,52562
"MODEL N, INC.",REDWOOD SHORES,CA,94065,CONSULTANT,68000
"MODEL N, INC.",REDWOOD SHORES,CA,94065,CONSULTANT,67563
APN SOFTWARE SERVICES INC.,NEWARK,CA,94560,PROGRAMMER ANALYST,80000
"INTERSHOP COMMUNICATIONS, INC.",SAN FRANCISCO,CA,94105,SENIOR TECHNICAL ANALYST,90000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,SOFTWARE ENGINEER,72000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,BUSINESS ANALYST,67475
TOBINWORLD,GLENDALE,CA,91205,CLINICAL & SCHOOL PSYCHOLOGIST,53643
"PDDN, INC.",FREMONT,CA,94538,QUALITY ASSURANCE ENGINEER,83000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,QUALITY ASSURANCE ANALYST,67000
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,SYSTEMS ANALYST,75000
THE NEIL JONES FOOD COMPANY,FIREBAUGH,CA,93622,APPLICATIONS ENGINEER,56930
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,BUSINESS ANALYST,80000
"BANYA 2000,LLC",BERKELEY,CA,94709,ACCOUNTANT,31.87
IDEA SOLUTIONS INC,SAN JOSE,CA,95110,PROGRAMMER ANALYST,80000
"KUSTOV & ASSOCIATES, INC.",SAN FRANCISCO,CA,94104,TAX SENIOR ASSOCIATE,36
AGAMA SOLUTIONS INC.,FREMONT,CA,94538,SYSTEMS ANALYST,28.65
SOLUGENIX CORPORATION,IRVINE,CA,92618,SENIOR SYSTEM ARCHITECT,35.35
"IXZIBIT, INC.",LOS ANGELES,CA,90038,ACCOUNTANT,28.72
"BPO SYSTEMS, INC.",WALNUT CREEK,CA,94596,ORACLE APPLICATIONS ENGINEER,60000
"IPIERIAN, INC.",SOUTH SAN FRANCISCO,CA,94080,COMPUTATIONAL BIOLOGIST,90500
"MURALS OF ENCHANTMENT, LLC",VAN NUYS,CA,91401,MURALIST,52042
UST GLOBAL INC.,ALISO VIEJO,CA,92656,COMPUTER PROGRAMMER,56710
UST GLOBAL INC.,ALISO VIEJO,CA,92656,SYSTEMS ANALYST,64200
R SYSTEMS INC.,EL DORADO HILLS,CA,95762,COMPUTER PROGRAMMER,80000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,127000
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,SYSTEMS ANALYST,60000
"GILEAD SCIENCES, INC.",FOSTER CITY,CA,94404,"MANAGER, BIOSTATISTICS",104749
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,MEMBER OF TECHNICAL STAFF - CHATTER,105000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,155800
"TWITTER, INC.",SAN FRANCISCO,CA,94107,"SOFTWARE ENGINEER, OBSERVABILITY INFRASTRUCTURE",131414
"CITYGRID MEDIA, LLC",WEST HOLLYWOOD,CA,90069,SOFTWARE ENGINEER,80000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,USER EXPERIENCE RESEARCHER,118000
"ADVANCED MICRO DEVICES, INC.",SUNNYVALE,CA,94088,DESIGN ENGINEER 2,74464
APPLE INC.,CUPERTINO,CA,95014,ELECTRONIC DESIGN ENG 3,100776
"AQT SOLAR, INC.",SUNNYVALE,CA,94086,RESEARCH AND DEVELOPMENT ENGINEER,96600
"CAMEO APPAREL, INC.",LOS ANGELES,CA,90021,HEAD DESIGNER - FASHION AND GRAPHICS,26.92
"JBA INTERNATIONAL, LLC",PASADENA,CA,91104,SOFTWARE ENGINEER / COMPUTER CONSULTANT,87651
ENLOE MEDICAL CENTER,CHICO,CA,95926,ADMINISTRATIVE HOUSE SUPERVISOR,53.57
MESA PROPERTIES,IRVINE,CA,92618,MARKET RESEARCH ANALYSTS,42500
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SENIOR RFIC DESIGN",75000
"ASPIRE SYSTEMS, INC.",SAN JOSE,CA,95110,QUALITY ASSURANCE ENGINEER,66000
PIERCE WASHINGTON LLC,SAN FRANCISCO,CA,94111,BUSINESS ANALYST,63107
"BRILLIANT SOFTWARE SOLUTIONS, INC.",FREMONT,CA,94538,SYSTEMS ADMINISTRATOR,60000
TQUATE INC.,IRVINE,CA,92614,LEAD SYSTEMS ANALYST,61000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SR. SOFTWARE ENGINEER,155886
"PAXTERRA SOLUTIONS, INC.",SAN JOSE,CA,95112,SERVICE ENGINEER,99590
"CAMEO APPAREL, INC.",LOS ANGELES,CA,90021,SENIOR FASHION DESIGNER,26.92
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,PROGRAMMER ANALYST,72000
"MEDIMPACT HEALTHCARE SYSTEMS, INC.",SAN DIEGO,CA,92131,QA SOFTWARE ENGINEER III,95944.5
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, VALIDATION",75000
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,75837
UST GLOBAL INC.,ALISO VIEJO,CA,92656,COMPUTER SYSTEMS ANALYST,55000
"JBA INTERNATIONAL, LLC",PASADENA,CA,91104,SOFTWARE ENGINEER / COMPUTER CONSULTANT,87651
PHOTOGENICS LLC,CULVER CITY,CA,90232,HIGH FASHION MODEL,250
"IBE CONSULTING ENGINEERS, INC.",SHERMAN OAKS,CA,91423,SENIOR MECHANICAL ENGINEER,75000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ENGINEERING",112000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ENGIENERING",100006
"GLOBALFOUNDRIES U.S., INC.",MILPITAS,CA,95035,"SENIOR ENGINEER, TECHNOLOGY & INTEGRATION",71573
APPLE INC.,CUPERTINO,CA,95014,IOS CELLULAR PROTOCOL SW ENGINEER,120000
"NEWSCHOOL OF ARCHITECTURE AND DESIGN, LLC",SAN DIEGO,CA,92101,LECTURER,36000
"INOVANT, LLC",FOSTER CITY,CA,94404,SENIOR STAFF SOFTWARE ENGINEER,131600
ATEM CORP,SANTA CLARA,CA,95050,PROGRAMMER ANALYST,81848
"TRI STAR EQUITY GROUP, INC.",REDLANDS,CA,92374,ACCOUNTANT,60000
BRIDGEMONT HIGH SCHOOL,DALY CITY,CA,94014,TEACHER,28.5
LSI CORPORATION,MILPITAS,CA,95035,SYSTEMS ENGINEER 2,75000
APPLE INC.,CUPERTINO,CA,95014,ENGINEERING MGR 1,148302
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,UI DESIGNER,126000
"NETAPP, INC.",SUNNYVALE,CA,94089,"MEMBER TECHNICAL STAFF, SOFTWARE",90000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,135000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, DIGITAL IC DESIGN",76000
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,PROGRAMMER ANALYST,60000
"REDOLENT, INC.",SAN JOSE,CA,95134,ENGINEER,75000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,SYSTEMS ANALYST,52770
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SENIOR SOFTWARE",88000
"VMWARE, INC.",PALO ALTO,CA,94304,MEMBER OF TECHNICAL STAFF,120000
"PAYPAL, INC.",SAN JOSE,CA,95131,RISK ANALYST,80000
"INTERNATIONAL PROGRAMMING & SYSTEMS, INC.",SAN MATEO,CA,94402,COMPUTER SYSTEMS ANALYST,65000
"SUCCESSFACTORS, INC.",SAN MATEO,CA,94404,LEAD DEVELOPER,83762
INTEL CORPORATION,SANTA CLARA,CA,95054,COMPONENT DESIGN ENGINEER,76387
"HP ENTERPRISE SERVICES, LLC",CUPERTINO,CA,95014,TECHNOLOGY CONSULTANT,77709
ALPHA NET CONSULTING LLC,SANTA CLARA,CA,95054,PROGRAMMER ANALYST - ORACLE,92000
"KEY BUSINESS SOLUTIONS, INC.",SACRAMENTO,CA,95834,PROGRAMMER ANALYST,59000
BRISTLECONE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,101800
"HELLMUTH OBATA & KASSABAUM, INC.",CULVER CITY,CA,90232,ARCHITECTURAL JOB CAPTAIN,73000
LSI CORPORATION,MILPITAS,CA,95035,ASIC DVDS ENG SR,101000
APPLE INC.,CUPERTINO,CA,95014,SYSTEMS DESIGN ENGINEER 5,144000
"GENENTECH, INC.",SOUTH SAN FRANCISCO,CA,94080,POSTDOCTORAL RESEARCH FELLOW,53232
BERGERSON GROUP,WALNUT CREEK,CA,94596,MANAGEMENT CONSULTANT,45448
ADOBE SYSTEMS INCORPORATED,SAN JOSE,CA,95110,QUALITY ENGINEER - FLASH RUNTIME PERFORMANCE,95000
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,63107
EMETER CORPORATION,SAN MATEO,CA,94404,LEAD SENIOR QA ENGINEER,127065
"TEKVALLEY CORPORATION,INC.",PLEASANTON,CA,94588,PROGRAMMER ANALYST,95000
INTEL CORPORATION,SANTA CLARA,CA,95054,SOFTWARE ENGINEER,95326
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,SENIOR MEMBER OF TECHNICAL STAFF,138043
"TWITTER, INC.",SAN FRANCISCO,CA,94107,SOFTWARE ENGINEER,114566
"AMERICAN DATA COMPANY, LLC",SANTA MONICA,CA,90405,SENIOR DEVELOPER,71000
"DIRECTV LATIN AMERICA, INC.",EL SEGUNDO,CA,90245,PRINCIPAL ENGINEER,103688
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, SOFTWARE ENGINEERING",110000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, VALIDATION",65000
PRO UNLIMITED,BURLINGAME,CA,94010,CLINICAL PROGRAMMER,166400
JIAWEI TECHNOLOGY (USA) LTD.,HAYWARD,CA,94545,DATABASE ENGINEER,25.52
"VERIFONE HOLDINGS, INC.",SAN JOSE,CA,95110,EMBEDDED SOFTWARE ENGINEER,80000
"ALLAN LAW GROUP, PROFESSIONAL CORPORATION",MALIBU,CA,90265,ASSOCIATE ATTORNEY,85675
APPLE INC.,CUPERTINO,CA,95014,SOFTWARE ENGINEER APPLICATIONS 3,125308
CHILDRENS HOSPITAL LOS ANGELES,LOS ANGELES,CA,90027,POSTDOCTORAL RESEARCH FELLOW,47195
HEWLETT-PACKARD COMPANY,CUPERTINO,CA,95014,"VICE PRESIDENT, PSG US CONSUMER GENERAL MANAGER",190195
"HP ENTERPRISE SERVICES, LLC",CUPERTINO,CA,95014,SERVICES INFORMATION DEVELOPER,98300.8
REPLY! INC.,SAN RAMON,CA,94583,MOBILE APPLICATION DEVELOPER,72500
SANDBOX INDUSTRIES LLC,SAN FRANCISCO,CA,94107,TECHNICAL PRODUCT MANAGER,72500
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,48000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SENIOR SYSTEM",92000
APPLE INC.,CUPERTINO,CA,95014,SW DEVELOP ENG 2,99000
SLAC NATIONAL ACCELERATOR LABORATORY,MENLO PARK,CA,94025,STAFF SCIENTIST,11737
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, FIRMWARE",66000
CALIFORNIA STATE UNIVERSITY FULLERTON,FULLERTON,CA,92834,ASSISTANT PROFESSOR OF KINESIOLOGY,68004
INTEL CORPORATION,SANTA CLARA,CA,95054,COMPONENT DESIGN ENGINEER,74464
"EURO SNACK, INC.",CARNELIAN BAY,CA,96140,SOFTWARE ENGINEER,32.06
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ASSURANCE",109120
APPLE INC.,CUPERTINO,CA,95014,"LEAD AUDIO ENGINEER, IOS DEVICES",155000
"ANSALDOBREDA, INC.",SAN FRANCISCO,CA,94105,CHIEF FINANCIAL OFFICER,125000
APPLE INC.,CUPERTINO,CA,95014,MECHANICAL ENGINEER,1.00E+05
ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT,SAN JOSE,CA,95128,VOLUNTEER COORDINATOR,46051.2
"WEB4, INC.",ANAHEIM,CA,92807,COLD FUSION DEVELOPER,85000
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,75837
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,MANAGEMENT ANALYST,66000
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,COMPUTER SYSTEMS ANALYST,62000
"OMNIVISION TECHNOLOGIES, INC.",SANTA CLARA,CA,95054,PRODUCT CHARACTERIZATION ENGINEER,95000
"HCL AMERICA, INC.",SUNNYVALE,CA,94085,INDUSTRIAL ENGINEER,51064
APPLE INC.,CUPERTINO,CA,95014,LANGUAGE TECHNOLOGIES ENGINEER,95000
BROADCOM CORPORATION,IRVINE,CA,92617,"ENGINEER, STAFF II - ELECTRONIC DESIGN",81464.25
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,83595.2
LSI CORPORATION,MILPITAS,CA,95035,ANALOG MIXED SIGNAL DESIGN ENGINEER 2,78000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,115000
JUSTANSWER LLC,SAN FRANCISCO,CA,94129,SOFTWARE ENGINEER,77000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,MEMBER OF TECHNICAL STAFF,113400
"CASHEDGE, INC.",SUNNYVALE,CA,94089,ENGINEERING MANAGER,120000
INTEL CORPORATION,SANTA CLARA,CA,95054,PROCESS ENGINEER,84219
"FIVE 9, INC.",SAN RAMON,CA,94583,SENIOR SOFTWARE ENGINEER,105000
"ALPINE ELECTRONICS RESEARCH OF AMERICA, INC.",TORRANCE,CA,90501,MOBILE APPLICATION DEVELOPER,82930
APPLE INC.,CUPERTINO,CA,95014,SENIOR NETWORK ENGINEER,98000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SENIOR SYSTEM",104000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,SENIOR MEMBER OF TECHNICAL STAFF,120000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,BUSINESS PRODUCT MANAGER I,135000
"MAXLINEAR, INC.",CARLSBAD,CA,92011,"SENIOR STAFF ENGINEER, RF/MS IC DESIGN",90000
"EBUSINESS APPLICATION SOLUTIONS, INC",FREMONT,CA,94538,SYSTEMS ANALYST,27.83
LANDSHAPE INC.,TRABUCO CANYON,CA,92679,LANDSCAPE ARCHITECT,25.05
APPLE INC.,CUPERTINO,CA,95014,SYSTEMS DESIGN ENGINEER 3,103011
E.A BONELLI AND ASSOCIATES INC.,OAKLAND,CA,94621,ARCHITECTURAL DESIGNER,24.5
UST GLOBAL INC.,ALISO VIEJO,CA,92656,SYSTEMS ANALYST,53400
TQUATE INC.,IRVINE,CA,92614,LEAD SYSTEMS ANALYST,61000
IMPERMIUM CORPORATION,PALO ALTO,CA,94306,PRINCIPAL DATA ENGINEER,115000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SR. SOFTWARE ENGINEER,161700
LOYOLA MARYMOUNT UNIVERSITY,LOS ANGELES,CA,90045,PROFESSOR OF ELECTRICAL ENGINEERING,75000
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (CONSULTING TECHNICAL MANAGER),100084
DEHIN SYSTEMS INC.,NEWPORT BEACH,CA,92660,CHIEF TECHNOLOGY OFFICER,42.26
REPLY! INC.,SAN RAMON,CA,94583,WEB DEVELOPER,85000
APPLE INC.,CUPERTINO,CA,95014,SW DEVELOP ENG 5,171000
"REAL-TIME INNOVATIONS, INC.",SUNNYVALE,CA,94089,SOFTWARE ENGINEER,103709
"ENVIRONMENTAL SYSTEMS RESEARCH INSTITUTE, INC.",REDLANDS,CA,92373,GIS SUPPORT ANALYST,56160
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, HARDWARE DESIGN",71000
"CALIFORNIA STATE UNIVERSITY, FRESNO FOUNDATION",FRESNO,CA,93726,EVENT PLANNING MANAGER,32760
INTEL CORPORATION,SANTA CLARA,CA,95054,SYSTEMS VALIDATION ENGINEER,74464
"ANALOG BITS, INC.",MOUNTAIN VIEW,CA,94041,CIRCUIT DESIGN ENGINEER,90000
ISHIFT CORP,FREMONT,CA,94539,PROGRAMMER ANALYST,60000
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,99653
HORIZON TECHNOLOGIES INC,SUNNYVALE,CA,94085,SOFTWARE QUALITY ASSURANCE ENGINEER,60000
APPLE INC.,CUPERTINO,CA,95014,SOFTWARE ENGINEER APPS 4,141000
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,SYSTEMS ANALYST,60000
"AQT SOLAR, INC.",SUNNYVALE,CA,94086,RESEARCH AND DEVELOPMENT ENGINEER,96600
"HS SOLUTIONS, INC.",SAN RAMON,CA,94582,PROGRAMMER ANALYST,50190
BECKMAN RESEARCH INSTITUTE OF THE CITY OF HOPE,DUARTE,CA,91010,POSTDOCTORAL FELLOW,42162
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SR. SOFTWARE ENGINEER,164600
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,115000
MSRCOSMOS LLC.,PLEASANTON,CA,94588,PROGRAMMER ANALYST,80000
TQUATE INC.,IRVINE,CA,92614,LEAD SYSTEMS ANALYST,61000
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,1.00E+05
APPLE INC.,CUPERTINO,CA,95014,RF SYSTEMS ENGINEER - IPHONE,1.00E+05
"PACIFIC TECHNOLOGY SOLUTIONS, LLC.",IRVINE,CA,92618,SOFTWARE ANALYST,65000
FRACTAL ANALYTICS INC,SAN MATEO,CA,94404,SENIOR ANALYST,64106
SYMANTEC CORPORATION,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,91625
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,CA,91101,SYSTEMS ARCHITECT,61000
IXIA,CALABASAS,CA,91302,FPGA ENGINEER II,71490
"ADVANCED PROTOTYPE ENGINEERING, LLC",SAN FRANCISCO,CA,94124,MECHANICAL ENGINEER-COMPOSITES DESIGN SPECIALIST,84261
"FAR EAST METALS, INC.",TORRANCE,CA,90502,ACCOUNTANT,60000
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,STAFF RESEARCH ASSOCIATE,42732
TQUATE INC.,IRVINE,CA,92614,LEAD SYSTEMS ANALYST,61000
INTEL CORPORATION,SANTA CLARA,CA,95054,COMPONENT DESIGN ENGINEER,83115
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 3),116000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SOFTWARE",72000
APPLE INC.,CUPERTINO,CA,95014,ENGINEERING MGR 1,148302
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR.",STANFORD,CA,94305,BASIC LIFE SCIENCE RESEARCH ASSOCIATE,58000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ENGINEERING",117720
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,92196
"QUALCOMM ATHEROS, INC.",SAN JOSE,CA,95110,SENIOR SOFTWARE ENGINEER,103709
"SOLAZYME, INC.",SOUTH SAN FRANCISCO,CA,94080,"SR. MANAGER, BUSINESS PLANNING & ANALYTICS",110000
"POTI, INC.",SAN FRANCISCO,CA,94105,SENIOR DEVELOPER,145000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, VERIFICATION DESIGN",78000
KLA-TENCOR CORPORATION,MILPITAS,CA,95035,APPLICATIONS DEVELOPMENT ENGINEER,99910
"XILINX, INC.",SAN JOSE,CA,95124-3450,SENIOR DESIGN ENGINEER,102000
"STRATEDGE, INC",SAN RAMON,CA,94583,PROGRAMMER ANALYST,75000
"ACTIVISION PUBLISHING, INC.",SANTA MONICA,CA,90405,"BUSINESS ANALYST, ORACLE SUPPLY CHAIN",105000
SANDIA NATIONAL LABORATORIES,LIVERMORE,CA,94551,JBEI POSTDOCTORAL APPOINTEE,61400
DOT PRINTER INC.,IRVINE,CA,92614,COMPUTER PROGRAMMER,50000
ATHEER INC.,LOS ALTOS,CA,94022,CHIEF EXECUTIVE OFFICER,90000
"FUHU, INC.",EL SEGUNDO,CA,90245,JUNIOR ACCOUNTANT,3750
"CINTEL SYSTEMS,INC",PLEASANTON,CA,94588,SYSTEMS ANALYST,60000
HEWLETT PACKARD COMPANY,CUPERTINO,CA,95014,SOFTWARE DESIGNER,102523
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,"ENGINEER, SYSTEM HARDWARE",76000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,SENIOR QUALITY ASSURANCE ENGINEER,121500
APPLE INC.,CUPERTINO,CA,95014,SYSTEMS DESIGN ENGINEER 5,144000
"MONOLITHIC POWER SYSTEMS, INC.",SAN JOSE,CA,95120,APPLICATIONS ENGINEER,88000
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER (SENIOR PRINCIPAL CONSULTANT),90362
"ALPINE ELECTRONICS RESEARCH OF AMERICA, INC.",TORRANCE,CA,90501,PROJECT ENGINEER,69104
APPLE INC.,CUPERTINO,CA,95014,SW DEVELOP ENG 4,165000
RS SOFTWARE (INDIA) LTD,MILPITAS,CA,95035,SYSTEMS ANALYST,63107
APPLE INC.,CUPERTINO,CA,95014,ELECTRONIC DESIGN ENG 3,100776
"ORACLE AMERICA, INC.",REDWOOD SHORES,CA,94065,SOFTWARE ENGINEER,64293
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,SENIOR ANALOG DESIGN ENGINEER,92000
"IGATE GLOBAL SOLUTIONS, AN IGATE COMPANY",FREMONT,CA,94555,SYSTEMS ANALYST II,63300
SANTA MONICA - MALIBU UNIFIED SCHOOL DISTRICT,SANTA MONICA,CA,90404,ELEMENTARY INSTRUMENTAL MUSIC TEACHER,72654.62
CAPISTRANO UNIFIED SCHOOL DISTRICT (CUSD),SAN JUAN CAPISTRANO,CA,92675,OCCUPATIONAL THERAPIST,72500
"RIOT GAMES, INC.",SANTA MONICA,CA,90404,SOFTWARE ENGINEER,90314
"PAYPAL, INC.",SAN JOSE,CA,95131,PROGRAM MANAGER,128900
"ESURANCE INSURANCE SERVICES, INC.",SAN FRANCISCO,CA,94111,SENIOR QUALITY ASSURANCE ANALYST,95000
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"SENIOR MEMBER OF TECHNICAL STAFF, QUALITY ASSURANC",121776
MYLIFE.COM,LOS ANGELES,CA,90025,QA ENGINEER (INTERMEDIATE),85000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,142000
NOWCOM CORPORATION,LOS ANGELES,CA,90010,QA ENGINEER,63981
"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,"MEMBER OF TECHNICAL STAFF, QUALITY ENGINEERING",114000
"INOVANT, LLC",FOSTER CITY,CA,94404,BUSINESS LEADER (SYSTEMS ENGINEER),113200
APPLE INC.,CUPERTINO,CA,95014,ITUNES OPS - EXTERNAL DATA SERVICES MANAGER,130000
"CISCO SYSTEMS, INC.",SAN JOSE,CA,95134,SOFTWARE ENGINEER,111317
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,CA,95054,ASIC DESIGN ENGINEER,75000
EVOLUTION ROBOTICS INC.,PASADENA,CA,91106,SOFTWARE ENGINEER,75000
"EDLIO, INC.",LOS ANGELES,CA,90034,SENIOR SOFTWARE ENGINEER,90000
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR.",STANFORD,CA,94305,ASSISTANT PROFESSOR,107650
INSPIRON INC.,CANOGA PARK,CA,91303,PROGRAMMER ANALYST,56000
