LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),91100
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,ASSOCIATE PRODUCT MANAAGER,1.00E+05
"MEDIA CREATION TECHNOLOGIES, INC.",LOS ANGELES,CA,90071,GRAPHIC DESIGNER,46521
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO!),76300
"DEMANDTEC, INC.",SAN CARLOS,CA,94070,SR. QA ANALYST (SR. TECH SUPPORT ENGINEER),81286
STANFORD UNIVERSITY,STANFORD,CA,94305,LIFE SCIENTIST RESEARCH ASSISTANT,46960
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,SCIENTIST (RESEARCHER),104000
HOULIHAN LOKEY HOWARD & ZUKIN,LOS ANGELES,CA,90067,FINANCIAL ANALYST,60590
"CALYPSO TECHNOLOGY, INC.",SAN FRANCISCO,CA,94105,SENIOR SOFTWARE ENGINEER,86757
ARUP NORTH AMERICA LTD.,LOS ANGELES,CA,90066,PLUMBING ENGINEER,63902
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SEARCH QUALITY EVALUATION ANALYST (OP RESEARCH ANA,179500
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,RESEARCH ENGINEER (SOFTWARE),121000
CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,RESEARCHER,50000
CALIFORNIA INSTITUTE OF TECHNOLOGY/JET PROPULSION,PASADENA,CA,91109,SCIENTIST,106496
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SYSTEMS ENGINEER,98758.4
ATASCADERO STATE HOSPITAL,ATASCADERO,CA,93423,"REHABILITATION THERAPIST, MUSIC",55176
"SPEEDDATE.COM, INC.",MILLBRAE,CA,94030,SOFTWARE ENGINEER,84000
THE J. DAVID GLADSTONE INSTITUTES,SAN FRANCISCO,CA,94158-,POSTDOCTORAL FELLOW,42578
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 1),58599
"IMPAX LABORATORIES, INC.",HAYWARD,CA,94544-,ANALYTICAL CHEMIST III,50954.17
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,87880
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,117000
PAYROLLING.COM,SAN DIEGO,CA,92109,ENGINEER,39
"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,ASSOCIATE PROFESSOR,77600
"SPEEDDATE.COM, INC.",MILLBRAE,CA,94030,SOFTWARE ENGINEER,84000
"DTI SERVICES, INC.",LOS ANGELES,CA,90017,MARKET RESEARCH ANALYST,38880
